EMP02023985|3|2026|22|29|4|3.105E7
EMP02023985|4|2026|25|27|1|3.125E7
EMP01022660|3|2026|18|29|8|3.152E7
EMP01022660|4|2026|24|23|2|3.164E7
EMP01051102|3|2026|24|21|2|3.148E7
EMP01051102|4|2026|24|23|2|3.164E7
EMP02024430|3|2026|24|29|2|3.125E7
EMP02024430|4|2026|26|33|0|3.165E7
EMP02047862|3|2026|25|35|1|3.165E7
EMP02047862|4|2026|24|20|2|3.08E7
EMP02014452|3|2026|23|27|3|3.105E7
EMP02014452|4|2026|23|9|3|3.015E7
EMP02058515|3|2026|25|22|1|3.1E7
EMP02058515|4|2026|25|39|1|3.185E7
EMP02038804|3|2026|23|27|3|3.105E7
EMP02038804|4|2026|23|21|3|3.075E7
EMP01045124|3|2026|24|21|2|3.148E7
EMP01045124|4|2026|25|26|1|3.198E7
EMP01042473|3|2026|25|39|1|3.302E7
EMP01042473|4|2026|26|20|0|3.16E7
EMP02031287|3|2026|24|28|2|3.12E7
EMP02031287|4|2026|25|21|1|3.095E7
EMP01056371|3|2026|21|18|5|3.094E7
EMP01056371|4|2026|26|27|0|3.216E7
EMP02011536|3|2026|25|26|1|3.12E7
EMP02011536|4|2026|25|25|1|3.115E7
EMP02059129|3|2026|25|25|1|3.115E7
EMP02059129|4|2026|26|15|0|3.075E7
EMP01037853|3|2026|23|40|3|3.29E7
EMP01037853|4|2026|24|45|2|3.34E7
EMP01032070|3|2026|21|20|5|3.11E7
EMP01032070|4|2026|23|32|3|3.226E7
EMP02042649|3|2026|22|22|4|3.07E7
EMP02042649|4|2026|24|32|2|3.14E7
